Id,Nom de l'appellation,Hiérarchie,Vignoble
839,Mâcon La Roche-Vineuse,Régionale,Mâconnais
840,Mâcon Loché,Régionale,Mâconnais
841,Mâcon Lugny,Régionale,Mâconnais
842,Mâcon Mancey,Régionale,Mâconnais
843,Mâcon Milly-Lamartine,Régionale,Mâconnais
844,Mâcon Montbellet,Régionale,Mâconnais
845,Mâcon Péronne,Régionale,Mâconnais
846,Mâcon Pierreclos,Régionale,Mâconnais
847,Mâcon Prissé,Régionale,Mâconnais
848,Mâcon Saint-Gengoux-le-National,Régionale,Mâconnais
849,Mâcon Serrières,Régionale,Mâconnais
850,Mâcon Solutré-Pouilly,Régionale,Mâconnais
851,Mâcon Uchizy,Régionale,Mâconnais
852,Mâcon Vergisson,Régionale,Mâconnais
853,Mâcon Verzé,Régionale,Mâconnais
854,Mâcon Villages,Régionale,Mâconnais
855,Mâcon Vinzelles,Régionale,Mâconnais
856,Macvin du Jura,Régionale,Jura
857,Madiran,Communale,Piémont Pyrénéen
858,Malepère,Communale,Languedoc
859,Maranges,Communale,Côte de Beaune
860,Maranges Premier Cru,Groupe de Premiers Crus,Côte de Beaune
861,Maranges Premier Cru Clos de la Boutière,Premier Cru,Côte de Beaune
862,Maranges Premier Cru Clos de la Fussière,Premier Cru,Côte de Beaune
863,Maranges Premier Cru La Fussière,Premier Cru,Côte de Beaune
864,Maranges Premier Cru Le Clos des Loyères,Premier Cru,Côte de Beaune
865,Maranges Premier Cru Le Clos des Rois,Premier Cru,Côte de Beaune
866,Maranges Premier Cru Le Croix Moines,Premier Cru,Côte de Beaune
867,Maranges Premier Cru Les Clos Roussots,Premier Cru,Côte de Beaune
868,Marcillac,Communale,Aveyron
869,Margaux,Communale,Médoc
870,Marsannay,Communale,Côte de Nuits
871,Maures,IGP,Provence
872,Maury,Communale,Roussillon
873,Mazis-Chambertin,Grand Cru,Côte de Nuits
874,Charmes-Chambertin ou Mazoyères-Chambertin,Grand Cru,Côte de Nuits
875,Méditerranée,IGP,France
876,Méditerranée Comté de Grignan,IGP,France
877,Méditerranée Coteaux de Montélimar,IGP,France
878,Médoc,Communale,Médoc
879,Menetou-Salon,Régionale,Centre
880,Menetou-Salon Aubinges,Communale,Centre
881,Menetou-Salon Humbligny,Communale,Centre
882,Menetou-Salon Morogues,Communale,Centre
883,Menetou-Salon Parassy,Communale,Centre
884,Menetou-Salon Pigny,Communale,Centre
885,Menetou-Salon Quantilly,Communale,Centre
886,Menetou-Salon Saint-Céols,Communale,Centre
887,Menetou-Salon Soulangis,Communale,Centre
888,Menetou-Salon Val de Loire,Régionale,Centre
889,Menetou-Salon Vignoux-sous-les-Aix,Communale,Centre
890,Mercurey,Communale,Côte chalonnaise
891,Mercurey Premier Cru,Groupe de Premiers Crus,Côte chalonnaise
892,Mercurey Premier Cru Clos de Paradis,Premier Cru,Côte chalonnaise
893,Mercurey Premier Cru Clos des Barraults,Premier Cru,Côte chalonnaise
894,Mercurey Premier Cru Clos des grands Voyens,Premier Cru,Côte chalonnaise
895,Mercurey Premier Cru Clos des Montaigus,Premier Cru,Côte chalonnaise
896,Mercurey Premier Cru Clos des Myglands,Premier Cru,Côte chalonnaise
897,Mercurey Premier Cru Clos du Château de Montaigu,Premier Cru,Côte chalonnaise
898,Mercurey Premier Cru Clos Marcilly,Premier Cru,Côte chalonnaise
899,Mercurey Premier Cru Clos Tonnerre,Premier Cru,Côte chalonnaise
900,Mercurey Premier Cru Clos Voyens,Premier Cru,Côte chalonnaise
901,Mercurey Premier Cru Grand Clos Fortoul,Premier Cru,Côte chalonnaise
902,Mercurey Premier Cru Griffères,Premier Cru,Côte chalonnaise
903,Mercurey Premier Cru La Bondue,Premier Cru,Côte chalonnaise
904,Mercurey Premier Cru La Cailloute,Premier Cru,Côte chalonnaise
905,Mercurey Premier Cru La Chassière,Premier Cru,Côte chalonnaise
906,Mercurey Premier Cru La Levrière,Premier Cru,Côte chalonnaise
907,Mercurey Premier Cru La Mission,Premier Cru,Côte chalonnaise
908,Mercurey Premier Cru Le Clos du Roy,Premier Cru,Côte chalonnaise
909,Mercurey Premier Cru Le Clos l'Evêque,Premier Cru,Côte chalonnaise
910,Mercurey Premier Cru Les Byots,Premier Cru,Côte chalonnaise
911,Mercurey Premier Cru Les Champs Martin,Premier Cru,Côte chalonnaise
912,Mercurey Premier Cru Les Combins,Premier Cru,Côte chalonnaise
913,Mercurey Premier Cru Les Crêts,Premier Cru,Côte chalonnaise
914,Mercurey Premier Cru Les Croichots,Premier Cru,Côte chalonnaise
915,Mercurey Premier Cru Les Fourneaux,Premier Cru,Côte chalonnaise
916,Mercurey Premier Cru Les Montaigus,Premier Cru,Côte chalonnaise
917,Mercurey Premier Cru Les Naugues,Premier Cru,Côte chalonnaise
918,Mercurey Premier Cru Les Puillets,Premier Cru,Côte chalonnaise
919,Mercurey Premier Cru Les Ruelles,Premier Cru,Côte chalonnaise
920,Mercurey Premier Cru Les Saumonts,Premier Cru,Côte chalonnaise
921,Mercurey Premier Cru Les Vasées,Premier Cru,Côte chalonnaise
922,Mercurey Premier Cru Les Velley,Premier Cru,Côte chalonnaise
923,Mercurey Premier Cru Sazenay,Premier Cru,Côte chalonnaise
924,Meursault,Communale,Côte de Beaune
925,Meursault La Garenne,,
926,Meursault ou Meursault Côte de Beaune,,
927,Meursault Premier Cru,Groupe de Premiers Crus,Côte de Beaune
928,Meursault Premier Cru Blagny,Premier Cru,Côte de Beaune
929,Meursault Premier Cru Charmes,Premier Cru,Côte de Beaune
930,Meursault Premier Cru Clos des Perrières,Premier Cru,Côte de Beaune
931,Meursault Premier Cru Genevrières,Premier Cru,Côte de Beaune
932,Meursault Premier Cru La Jeunellotte,Premier Cru,Côte de Beaune
933,Meursault Premier Cru La Pièce sous le Bois,Premier Cru,Côte de Beaune
934,Meursault Premier Cru Le Porusot,Premier Cru,Côte de Beaune
935,Meursault Premier Cru Les Bouchères,Premier Cru,Côte de Beaune
936,Meursault Premier Cru Les Caillerets,Premier Cru,Côte de Beaune
937,Meursault Premier Cru Les Cras,Premier Cru,Côte de Beaune
938,Meursault Premier Cru Les Gouttes d'Or,Premier Cru,Côte de Beaune
939,Meursault Premier Cru Les Plures,Premier Cru,Côte de Beaune
940,Meursault Premier Cru Les Ravelles,Premier Cru,Côte de Beaune
941,Meursault Premier Cru Les Santenots Blancs,Premier Cru,Côte de Beaune
942,Meursault Premier Cru Les Santenots du Milieu,Premier Cru,Côte de Beaune
943,Meursault Premier Cru Perrières,Premier Cru,Côte de Beaune
944,Meursault Premier Cru Porusot,Premier Cru,Côte de Beaune
945,Meursault Premier Cru Sous Blagny,Premier Cru,Côte de Beaune
947,Meursault Premier Cru Sous le Dos d'Ane,Premier Cru,Côte de Beaune
948,Meursault Sous le Puits,,
949,Meursault Sur la Garenne,,
950,Minervois,Communale,Languedoc
951,Minervois-La Livinière,Premier Cru,Languedoc
952,Monbazillac,Communale,Bergerac
953,Montagne-Saint-Emilion,Communale,Libournais
954,Montagny,Communale,Côte chalonnaise
955,Montagny Premier Cru,Groupe de Premiers Crus,Côte chalonnaise
956,Montagny Premier Cru Champ Toizeau,Premier Cru,Côte chalonnaise
957,Montagny Premier Cru Chazelle,Premier Cru,Côte chalonnaise
958,Montagny Premier Cru Cornevent,Premier Cru,Côte chalonnaise
959,Montagny Premier Cru Creux de Beaux champs,Premier Cru,Côte chalonnaise
960,Montagny Premier Cru La Condemine du Vieux Château,Premier Cru,Côte chalonnaise
961,Montagny Premier Cru La Grande Pièce,Premier Cru,Côte chalonnaise
962,Montagny Premier Cru La Moullière,Premier Cru,Côte chalonnaise
963,Montagny Premier Cru Le Clos Chaudron,Premier Cru,Côte chalonnaise
964,Montagny Premier Cru Le Cloux,Premier Cru,Côte chalonnaise
965,Montagny Premier Cru Le Clouzot,Premier Cru,Côte chalonnaise
966,Montagny Premier Cru L'Epaule,Premier Cru,Côte chalonnaise
967,Montagny Premier Cru Les Bassets,Premier Cru,Côte chalonnaise
968,Montagny Premier Cru Les Beaux champs,Premier Cru,Côte chalonnaise
969,Montagny Premier Cru Les Bonneveaux,Premier Cru,Côte chalonnaise
970,Montagny Premier Cru Les Bordes,Premier Cru,Côte chalonnaise
971,Montagny Premier Cru Les Bouchots,Premier Cru,Côte chalonnaise
972,Montagny Premier Cru Les Burnins,Premier Cru,Côte chalonnaise
973,Montagny Premier Cru Les Chaniots,Premier Cru,Côte chalonnaise
974,Montagny Premier Cru Les Chaumelottes,Premier Cru,Côte chalonnaise
975,Montagny Premier Cru Les Coères,Premier Cru,Côte chalonnaise
976,Montagny Premier Cru Les Combes,Premier Cru,Côte chalonnaise
977,Montagny Premier Cru Les Coudrettes,Premier Cru,Côte chalonnaise
978,Montagny Premier Cru Les Craboulettes,Premier Cru,Côte chalonnaise
979,Montagny Premier Cru Les Garchères,Premier Cru,Côte chalonnaise
980,Montagny Premier Cru Les Gouresses,Premier Cru,Côte chalonnaise
981,Montagny Premier Cru Les Jardins,Premier Cru,Côte chalonnaise
982,Montagny Premier Cru Les Las,Premier Cru,Côte chalonnaise
983,Montagny Premier Cru Les Macles,Premier Cru,Côte chalonnaise
984,Montagny Premier Cru Les Maroques,Premier Cru,Côte chalonnaise
985,Montagny Premier Cru Les Paquiers,Premier Cru,Côte chalonnaise
986,Montagny Premier Cru Les Perrières,Premier Cru,Côte chalonnaise
987,Montagny Premier Cru Les Pidances,Premier Cru,Côte chalonnaise
988,Montagny Premier Cru Les Platières,Premier Cru,Côte chalonnaise
989,Montagny Premier Cru Les Resses,Premier Cru,Côte chalonnaise
990,Montagny Premier Cru Les Treuffères,Premier Cru,Côte chalonnaise
991,Montagny Premier Cru Les Vignes Derrière,Premier Cru,Côte chalonnaise
992,Montagny Premier Cru Les Vignes des Prés,Premier Cru,Côte chalonnaise
993,Montagny Premier Cru Les Vignes longues,Premier Cru,Côte chalonnaise
994,Montagny Premier Cru Le Vieux Château,Premier Cru,Côte chalonnaise
995,Montagny Premier Cru Montcuchot,Premier Cru,Côte chalonnaise
996,Montagny Premier Cru Mont Laurent,Premier Cru,Côte chalonnaise
997,Montagny Premier Cru Montorge,Premier Cru,Côte chalonnaise
998,Montagny Premier Cru Sainte-Morille,Premier Cru,Côte chalonnaise
999,Montagny Premier Cru Saint-Ytages,Premier Cru,Côte chalonnaise
1000,Montagny Premier Cru Sous les Feilles,Premier Cru,Côte chalonnaise
1001,Montagny Premier Cru Vigne du soleil,Premier Cru,Côte chalonnaise
1002,Montagny Premier Cru Vignes Couland,Premier Cru,Côte chalonnaise
1003,Montagny Premier Cru Vignes Saint-Pierre,Premier Cru,Côte chalonnaise
1004,Montagny Premier Cru Vignes sur le Cloux,Premier Cru,Côte chalonnaise
1005,Mont Caume,IGP,France
1006,Monthélie,Communale,Côte de Beaune
1007,Monthélie Côte de Beaune,,
1008,Monthélie Premier Cru,Groupe de Premiers Crus,Côte de Beaune
1009,Monthélie Premier Cru Clos des Toisières,Premier Cru,Côte de Beaune
1010,Monthélie Premier Cru La Taupine,Premier Cru,Côte de Beaune
1011,Monthélie Premier Cru Le Cas Rougeot,Premier Cru,Côte de Beaune
1012,Monthélie Premier Cru Le Château Gaillard,Premier Cru,Côte de Beaune
1013,Monthélie Premier Cru Le Clos Gauthey,Premier Cru,Côte de Beaune
1014,Monthélie Premier Cru Le Clou des Chênes,Premier Cru,Côte de Beaune
1015,Monthélie Premier Cru Le Meix Bataille,Premier Cru,Côte de Beaune
1016,Monthélie Premier Cru Les Barbières,Premier Cru,Côte de Beaune
1017,Monthélie Premier Cru Les Champs Fulliots,Premier Cru,Côte de Beaune
1018,Monthélie Premier Cru Les Clous,Premier Cru,Côte de Beaune
1019,Monthélie Premier Cru Les Duresses,Premier Cru,Côte de Beaune
1020,Monthélie Premier Cru Les Riottes,Premier Cru,Côte de Beaune
1021,Monthélie Premier Cru Les Vignes Rondes,Premier Cru,Côte de Beaune
1022,Monthélie Premier Cru Le Village,Premier Cru,Côte de Beaune
1023,Monthélie Premier Cru Sur la Velle,Premier Cru,Côte de Beaune
1024,Montlouis-sur-Loire,Communale,Touraine
1025,Montrachet,Grand Cru,Côte de Beaune
1026,Montravel,Communale,Bergerac
1027,Morey-Saint-Denis,Communale,Côte de Nuits
1028,Morey-Saint-Denis Premier Cru,Groupe de Premiers Crus,Côte de Nuits
1029,Morey-Saint-Denis Premier Cru Aux Charmes,Premier Cru,Côte de Nuits
1030,Morey-Saint-Denis Premier Cru Aux Cheseaux,Premier Cru,Côte de Nuits
1031,Morey-Saint-Denis Premier Cru Clos Baulet,Premier Cru,Côte de Nuits
1032,Morey-Saint-Denis Premier Cru Clos des Ormes,Premier Cru,Côte de Nuits
1033,Morey-Saint-Denis Premier Cru Clos Sorbè,Premier Cru,Côte de Nuits
1034,Morey-Saint-Denis Premier Cru Côte Rotie,Premier Cru,Côte de Nuits
1035,Morey-Saint-Denis Premier Cru La Bussière,Premier Cru,Côte de Nuits
1036,Morey-Saint-Denis Premier Cru La Riotte,Premier Cru,Côte de Nuits
1037,Morey-Saint-Denis Premier Cru Les Blanchards,Premier Cru,Côte de Nuits
1038,Morey-Saint-Denis Premier Cru Les Chaffots,Premier Cru,Côte de Nuits
1039,Morey-Saint-Denis Premier Cru Les Charrières,Premier Cru,Côte de Nuits
1040,Morey-Saint-Denis Premier Cru Les Chenevery,Premier Cru,Côte de Nuits
1041,Morey-Saint-Denis Premier Cru Les Faconnières,Premier Cru,Côte de Nuits
1042,Morey-Saint-Denis Premier Cru Les Genavrières,Premier Cru,Côte de Nuits
1043,Morey-Saint-Denis Premier Cru Les Gruenchers,Premier Cru,Côte de Nuits
1044,Morey-Saint-Denis Premier Cru Les Millandes,Premier Cru,Côte de Nuits
1045,Morey-Saint-Denis Premier Cru Les Ruchots,Premier Cru,Côte de Nuits
1046,Morey-Saint-Denis Premier Cru Les Sorbès,Premier Cru,Côte de Nuits
1047,Morey-Saint-Denis Premier Cru Le Village,Premier Cru,Côte de Nuits
1048,Morey-Saint-Denis Premier Cru Monts Luisants,Premier Cru,Côte de Nuits
1049,Morgon,Premier Cru,Crus du Beaujolais
1050,Moselle,Régionale,Moselle
1051,Moulin-à-Vent,Premier Cru,Crus du Beaujolais
1052,Moulis ou Moulis-en-Médoc,Communale,Médoc
1053,Muscadet,Régionale,Nantes
1054,Muscadet Coteaux de la Loire,Régionale,Nantes
1055,Muscadet Côtes de Grandlieu,Régionale,Nantes
1056,Muscadet Côtes de Grandlieu Val de Loire,Régionale,Nantes
1057,Muscadet Sèvre et Maine,Régionale,Nantes
1058,Muscadet Sèvre et Maine Clisson,Communale,Nantes
1059,Muscadet Sèvre et Maine Gorges,Communale,Nantes
1060,Muscadet Sèvre et Maine Le Pallet,Communale,Nantes
1061,Muscadet Sèvre et Maine Val de Loire,Communale,Nantes
1062,Muscat de Beaumes-de-Venise,Communale,Méridional
1063,Muscat de Frontignan ou Frontignan ou Vin de Frontignan,Communale,Languedoc
1064,Muscat de Lunel,Communale,Languedoc
1065,Muscat de Mireval,Communale,Languedoc
1066,Muscat de Rivesaltes,Communale,Roussillon
1067,Muscat de Saint-Jean-de-Minervois,Communale,Languedoc
1068,Muscat du Cap Corse,Communale,Corse
1069,Musigny,Grand Cru,Côte de Nuits
1070,Nuits-Saint-Georges,Communale,Côte de Nuits
1071,Nuits-Saint-Georges Clos des Forêts Saint-Georges,Premier Cru,Côte de Nuits
1072,Nuits-Saint-Georges Clos des Grandes Vignes,Premier Cru,Côte de Nuits
1073,Nuits-Saint-Georges Premier Cru,Groupe de Premiers Crus,Côte de Nuits
1074,Nuits-Saint-Georges Premier Cru Aux Argillas,Premier Cru,Côte de Nuits
1075,Nuits-Saint-Georges Premier Cru Aux Boudots,Premier Cru,Côte de Nuits
1076,Nuits-Saint-Georges Premier Cru Aux Bousselots,Premier Cru,Côte de Nuits
1077,Nuits-Saint-Georges Premier Cru Aux Chaignots,Premier Cru,Côte de Nuits
1078,Nuits-Saint-Georges Premier Cru Aux Champs Perdrix,Premier Cru,Côte de Nuits
1079,Nuits-Saint-Georges Premier Cru Aux Cras,Premier Cru,Côte de Nuits
1080,Nuits-Saint-Georges Premier Cru Aux Murgers,Premier Cru,Côte de Nuits
1081,Nuits-Saint-Georges Premier Cru Aux Perdrix,Premier Cru,Côte de Nuits
1082,Nuits-Saint-Georges Premier Cru Aux Thorey,Premier Cru,Côte de Nuits
1083,Nuits-Saint-Georges Premier Cru Aux Vignerondes,Premier Cru,Côte de Nuits
1084,Nuits-Saint-Georges Premier Cru Chaines Carteaux,Premier Cru,Côte de Nuits
1085,Nuits-Saint-Georges Premier Cru Château Gris,Premier Cru,Côte de Nuits
1086,Nuits-Saint-Georges Premier Cru Clos Arlot,Premier Cru,Côte de Nuits
1087,Nuits-Saint-Georges Premier Cru Clos de la Maréchale,Premier Cru,Côte de Nuits
1088,Nuits-Saint-Georges Premier Cru Clos des Argillières,Premier Cru,Côte de Nuits
1089,Nuits-Saint-Georges Premier Cru Clos des Corvées,Premier Cru,Côte de Nuits
1090,Nuits-Saint-Georges Premier Cru Clos des Corvées Pagets,Premier Cru,Côte de Nuits
1091,Nuits-Saint-Georges Premier Cru Clos des Forêts Saint-Georges,Premier Cru,Côte de Nuits
1092,Nuits-Saint-Georges Premier Cru Clos des Porrets-Saint-Georges,Premier Cru,Côte de Nuits
1093,Nuits-Saint-Georges Premier Cru Clos Saint-Marc,Premier Cru,Côte de Nuits
1094,Nuits-Saint-Georges Premier Cru En la Perrière Noblot,Premier Cru,Côte de Nuits
1095,Nuits-Saint-Georges Premier Cru La Richemone,Premier Cru,Côte de Nuits
1096,Nuits-Saint-Georges Premier Cru Les Argillières,Premier Cru,Côte de Nuits
1097,Nuits-Saint-Georges Premier Cru Les Cailles,Premier Cru,Côte de Nuits
1099,Nuits-Saint-Georges premier cru Les Chabœufs,Premier Cru,Côte de Nuits
1100,Nuits-Saint-Georges Premier Cru Les Crots,Premier Cru,Côte de Nuits
1101,Nuits-Saint-Georges Premier Cru les Damodes,Premier Cru,Côte de Nuits
1102,Nuits-Saint-Georges Premier Cru Les Didiers,Premier Cru,Côte de Nuits
1103,Nuits-Saint-Georges Premier Cru Les Hauts Pruliers,Premier Cru,Côte de Nuits
1104,Nuits-Saint-Georges Premier Cru Les Perrières,Premier Cru,Côte de Nuits
1105,Nuits-Saint-Georges Premier Cru Les Porrets-Saint-Georges,Premier Cru,Côte de Nuits
1106,Nuits-Saint-Georges Premier Cru Les Poulettes,Premier Cru,Côte de Nuits
1107,Nuits-Saint-Georges Premier Cru Les Procès,Premier Cru,Côte de Nuits
1108,Nuits-Saint-Georges Premier Cru Les Pruliers,Premier Cru,Côte de Nuits
1109,Nuits-Saint-Georges Premier Cru Les Saints-Georges,Premier Cru,Côte de Nuits
1110,Nuits-Saint-Georges Premier Cru Les Terres Blanches,Premier Cru,Côte de Nuits
1111,Nuits-Saint-Georges Premier Cru Les Vallerots,Premier Cru,Côte de Nuits
1112,Nuits-Saint-Georges Premier Cru Les Vaucrains,Premier Cru,Côte de Nuits
1113,Nuits-Saint-Georges Premier Cru Roncière,Premier Cru,Côte de Nuits
1114,Nuits-Saint-Georges Premier Cru Rue de Chaux,Premier Cru,Côte de Nuits
1115,Orléans,Régionale,Centre
1116,Orléans-Cléry,Communale,Centre
1117,Pacherenc du Vic-Bilh,Communale,Piémont Pyrénéen
1118,Palette,Communale,Provence
1119,Patrimonio,Communale,Corse
1120,Pauillac,Communale,Médoc
1121,Pays de Brive,IGP,Limousin
1122,Pays d'Hérault,IGP,Languedoc
1123,Pays d'Hérault Bénovie,IGP,Languedoc
1124,Pays d'Hérault Bérange,IGP,Languedoc
1125,Pays d'Hérault Cassan,IGP,Languedoc
1126,Pays d'Hérault Cessenon,IGP,Languedoc
1127,Pays d'Hérault Collines de la Moure,IGP,Languedoc
1128,Pays d'Hérault Coteaux de Bessilles,IGP,Languedoc
1129,Pays d'Hérault Coteaux de Fontcaude,IGP,Languedoc
1130,Pays d'Hérault Coteaux de Laurens,IGP,Languedoc
1131,Pays d'Hérault Coteaux de Murviel,IGP,Languedoc
1132,Pays d'Hérault Coteaux du Salagou,IGP,Languedoc
1133,Pays d'Hérault Côtes du Brian,IGP,Languedoc
1134,Pays d'Hérault Côtes du Ceressou,IGP,Languedoc
1135,Pays d'Hérault Mont Baudile,IGP,Languedoc
1136,Pays d'Hérault Monts de la Grage,IGP,Languedoc
1137,Pays d'Hérault Pays de Bessan,IGP,Languedoc
1138,Pays d'Hérault Pays de Caux,IGP,Languedoc
1139,Pays d'Oc,IGP,Languedoc-Roussillon
1140,Pécharmant,Communale,Bergerac
1141,Périgord,IGP,Bergerac
1142,Périgord Dordogne,IGP,Bergerac
1143,Périgord Vin de Domme,IGP,Bergerac
1144,Pernand-Vergelesses,Communale,Côte de Beaune
1145,Pernand-Vergelesses Côte de Beaune,,
1146,Pernand-Vergelesses Premier Cru,Groupe de Premiers Crus,Côte de Beaune
1147,Pernand-Vergelesses Premier Cru Clos Berthet,Premier Cru,Côte de Beaune
1148,Pernand-Vergelesses Premier Cru Creux de la Net,Premier Cru,Côte de Beaune
1149,Pernand-Vergelesses Premier Cru En Caradeux,Premier Cru,Côte de Beaune
1150,Pernand-Vergelesses Premier Cru Ile des Vergelesses,Premier Cru,Côte de Beaune
1151,Pernand-Vergelesses Premier Cru Les Fichots,Premier Cru,Côte de Beaune
1152,Pernand-Vergelesses Premier Cru Sous Frétille,Premier Cru,Côte de Beaune
1153,Pernand-Vergelesses Premier Cru Vergelesses,Premier Cru,Côte de Beaune
1154,Pernand-Vergelesses Premier Cru Village de Pernand,Premier Cru,Côte de Beaune
1155,Pessac-Léognan,Communale,Graves
1156,Petit Chablis,Communale,Chablisien
1157,Picpoul de Pinet,Communale,Languedoc
1158,Pic Saint-Loup,Premier Cru,Languedoc
1159,Pierrevert,Communale,Provence
1160,Pomerol,Communale,Libournais
1161,Pommard,Communale,Côte de Beaune
1162,Pommard Premier Cru,Groupe de Premiers Crus,Côte de Beaune
1163,Pommard Premier Cru Clos Blanc,Premier Cru,Côte de Beaune
1164,Pommard Premier Cru Clos de la Commaraine,Premier Cru,Côte de Beaune
1165,Pommard Premier Cru Clos des Epeneaux,Premier Cru,Côte de Beaune
1166,Pommard Premier Cru Clos de Verger,Premier Cru,Côte de Beaune
1167,Pommard Premier Cru Derrière Saint-Jean,Premier Cru,Côte de Beaune
1168,Pommard Premier Cru En Largillière,Premier Cru,Côte de Beaune
1169,Pommard Premier Cru La Chanière,Premier Cru,Côte de Beaune
1170,Pommard Premier Cru La Platière,Premier Cru,Côte de Beaune
1171,Pommard Premier Cru La Refène,Premier Cru,Côte de Beaune
1172,Pommard Premier Cru Le Clos Micot,Premier Cru,Côte de Beaune
1173,Pommard Premier Cru Les Arvelets,Premier Cru,Côte de Beaune
1174,Pommard Premier Cru Les Bertins,Premier Cru,Côte de Beaune
1175,Pommard Premier Cru Les Boucherottes,Premier Cru,Côte de Beaune
1176,Pommard Premier Cru Les Chanlins-Bas,Premier Cru,Côte de Beaune
1177,Pommard Premier Cru Les Chaponnières,Premier Cru,Côte de Beaune
1178,Pommard Premier Cru Les Charmots,Premier Cru,Côte de Beaune
1179,Pommard Premier Cru Les Combes Dessus,Premier Cru,Côte de Beaune
1180,Pommard Premier Cru Les Croix noires,Premier Cru,Côte de Beaune
1181,Pommard Premier Cru Les Fremiers,Premier Cru,Côte de Beaune
1182,Pommard Premier Cru Les Grands Epenots,Premier Cru,Côte de Beaune
1183,Pommard Premier Cru Les Jarolières,Premier Cru,Côte de Beaune
1184,Pommard Premier Cru Les Petits Epenots,Premier Cru,Côte de Beaune
1185,Pommard Premier Cru Les Pézerolles,Premier Cru,Côte de Beaune
1186,Pommard Premier Cru Les Poutures,Premier Cru,Côte de Beaune
1187,Pommard Premier Cru Les Rugiens Bas,Premier Cru,Côte de Beaune
1188,Pommard Premier Cru Les Rugiens Hauts,Premier Cru,Côte de Beaune
1189,Pommard Premier Cru Les Saussilles,Premier Cru,Côte de Beaune
1190,Pommard Premier Cru Le Village,Premier Cru,Côte de Beaune
1191,Pouilly-Fuissé,Communale,Mâconnais
1192,Pouilly-Fumé ou Blanc Fumé de Pouilly,Communale,Centre
1193,Pouilly-Loché,Communale,Mâconnais
